38 Province,
,Literacy Rate of Population Aged 15-24 Years by Province
,2024
ACEH,99.92
SUMATERA UTARA,99.93
SUMATERA BARAT,99.93
RIAU,99.95
JAMBI,99.9
SUMATERA SELATAN,99.95
BENGKULU,99.87
LAMPUNG,99.9
KEP. BANGKA BELITUNG,99.96
KEP. RIAU,99.96
DKI JAKARTA,99.91
JAWA BARAT,99.97
JAWA TENGAH,99.93
DI YOGYAKARTA,99.93
JAWA TIMUR,99.95
BANTEN,99.91
BALI,99.92
NUSA TENGGARA BARAT,99.83
NUSA TENGGARA TIMUR,99.63
KALIMANTAN BARAT,99.91
KALIMANTAN TENGAH,99.8
KALIMANTAN SELATAN,99.93
KALIMANTAN TIMUR,99.94
KALIMANTAN UTARA,99.7
SULAWESI UTARA,99.91
SULAWESI TENGAH,99.82
SULAWESI SELATAN,99.87
SULAWESI TENGGARA,99.83
GORONTALO,99.76
SULAWESI BARAT,99.6
MALUKU,99.94
MALUKU UTARA,99.92
PAPUA BARAT,99.76
PAPUA BARAT DAYA,99.58
PAPUA,99.69
PAPUA SELATAN,97.95
PAPUA TENGAH,90.46
PAPUA PEGUNUNGAN,90.58
INDONESIA,99.83
