Indicator,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Gross Enrollment Ratio (GER) Upper Secondary Education,,,,,,,,,,,,,,59.46,59.06,62.55,62.85,64.9,68.8,66.61,74.26,78.02,80.89,82.84,80.68,83.98,84.53,85.23,85.49,86.34,87.29
Net Enrolment Rate (NER) Primary Education,,,,,,,,,,,,,,93.78,93.99,94.37,94.76,91.07,92.54,95.59,96.45,96.7,96.82,97.19,97.58,97.64,97.69,97.8,97.88,97.89,97.94
Net Enrolment Rate (NER) Lower Secondary Education,,,,,,,,,,,,,,66.9,67.39,67.43,67.73,68.36,70.93,73.88,77.53,77.82,77.95,78.4,78.84,79.4,80.12,80.59,80.89,81.35,81.73
Net Enrolment Rate (NER) Upper Secondary Education,,,,,,,,,,,,,,44.84,44.97,45.11,45.59,48.07,51.88,54.25,59.35,59.71,59.95,60.37,60.67,60.84,61.25,61.65,61.97,62.53,64.32
Illiteracy Rate Population Aged 10 years and above,12.74,13.74,12.65,10.93,10.58,10.21,10.08,10.73,9.29,9.07,8.53,8.09,7.61,7.26,6.95,6.59,6.34,6.8,6.28,5.46,4.39,4.27,4.19,4.08,3.93,3.7,3.62,3.63,3.34,3.18,3.05
Illiteracy Rate Population Aged 15 years and above,14.84,15.95,14.66,12.59,12.11,11.63,11.42,12.11,10.49,10.21,9.62,9.09,8.55,8.13,7.81,7.42,7.09,7.56,7.03,6.08,4.88,4.78,4.62,4.5,4.34,4.1,4,3.96,3.65,3.47,3.33
Illiteracy Rate Population Aged 15-44 years,6.9,7.45,6.89,5.54,5.15,4.63,4.5,4.78,3.75,3.88,3.3,3.09,2.89,2.96,1.95,1.8,1.71,2.31,2.03,1.61,1.24,1.1,1,0.94,0.86,0.76,0.8,0.73,0.75,0.47,0.43
Illiteracy Rate Population Aged 45 years and above,36.06,37.8,34.54,31,29.74,28.83,28.54,30.31,26.84,25.43,24.87,22.83,21.09,18.94,19.59,18.68,18.25,18.15,17.17,15.15,12.25,11.89,11.47,11.08,10.6,9.92,9.46,9.24,8.48,8.04,7.66
Expected Years of Schooling,,,,,,,,,,,,,,,,,11.2850,11.4850,11.6900,12.1000,12.3850,12.5500,12.7300,12.8500,12.9150,12.9500,12.9850,13.0850,13.1200,13.1550,13.1900
Mean Year of Schooling,,,,,,,,,,,,,,,,,7.400,7.470,7.545,7.615,7.735,7.850,7.955,8.105,8.170,8.350,8.485,8.545,8.690,8.775,8.855
